Бренд Oakley (Окли) | Clothing Encyclopedia;Oakley-mærket (Oakley) | Clothing Encyclopedia
"Компания Oakley была основана Джимом Джаннардом в 1975 году в его гараже с первоначальными инвестициями в 300 долларов. Название ""Oakley"" произошло от имени английского сеттера Джима, ""Окли Энн"". Джаннард начал с продажи рукояток для мотокросса - ""Oakley Grip"". Его мотоциклетные рукоятки не были похожи на другие, доступные в то время. Этот материал до сих пор используется для изготовления дужек очков Oakley, многих носовых деталей очков, а теперь и ремешков для часов. Компания Oakley продолжила производство номерных знаков, перчаток, грипсов (ручки, надеваемые на обе стороны велосипедного руля), защитных щитков для локтей, подбородка и очков для BMX и мотокросса.";"Oakley-firmaet blev grundlagt af Jim Jannard i 1975 i hans garage med en oprindelig investering på $300. Navnet ""Oakley"" stammer fra Jim's engelske setter, ""Oakley Anne"". Jannard begyndte med at sælge motorcross håndtag - ""Oakley Grip"". Hans motorcykelhåndtag var ikke som andre tilgængelige på det tidspunkt. Dette materiale bruges stadig til at fremstille Oakley brillestænger, mange næsedele til briller, og nu også til urremme. Oakley fortsatte med at fremstille nummerplader, handsker, greb (håndtag, der sættes på begge sider af cykelstyret), albuebeskyttere, kæbebeskyttere og briller til BMX og motocross."
Американский актёр Робин Уильямс в очках Oakley;Amerikansk skuespiller Robin Williams i Oakley-briller
"В 1980 году Джаннард выпустил пару очков под названием O-Frame. Благодаря логотипу ""Oakley"" на ремешке, бренд получил все большее признание и известность в спортивной индустрии. В 1983 году компания Oakley начала продавать горнолыжные очки.";"I 1980 udgav Jannard et par briller kaldet O-Frame. Takket være ""Oakley""-logoet på stroppen, fik mærket større anerkendelse og popularitet i sportsindustrien. I 1983 begyndte Oakley at sælge skibriller."
Первые солнцезащитные очки Oakley, Factory Pilot Eyeshades, были ориентированы на спорт и напоминали очки, и были выпущены в 1984 году. За ними в 1985 году последовали Oakley Frogskin, повседневные солнцезащитные очки, которые производились в Японии.;Oakleys første solbriller, Factory Pilot Eyeshades, var sportsorienterede og lignede briller, og blev udgivet i 1984. Efterfulgt af Oakley Frogskin, hverdagssolbriller, der blev produceret i Japan i 1985.
Компания вышла на биржу в 1995 году, собрав 230 миллионов долларов.;Firmaet blev børsnoteret i 1995, hvilket indbragte 230 millioner dollars.
В начале 1996 года у Oakley возник ценовой спор с итальянской компанией Luxottica, крупнейшим в мире производителем и продавцом очков. Luxottica перестала продавать продукцию Oakley в своих магазинах, включая Sunglass Hut, и рыночная стоимость акций Oakley снизилась на 33%.;I begyndelsen af 1996 opstod der en prisstrid med det italienske firma Luxottica, verdens største producent og sælger af briller. Luxottica stoppede med at sælge Oakleys produkter i deres butikker, herunder Sunglass Hut, og Oakleys aktieværdi faldt med 33%.
В 2001 году Oakley купила компанию Iacon, Inc., которая управляла розничной сетью солнцезащитных очков Sunglass Designs, Sporting Eyes и Occhiali da Sole.;I 2001 købte Oakley firmaet Iacon, Inc., som drev detailkæden for solbriller Sunglass Designs, Sporting Eyes og Occhiali da Sole.
В сентябре 2004 года компания Oakley подписала четырехлетнее соглашение о производстве очков, разработанных ею самой и компанией Fox Racing.;I september 2004 underskrev Oakley en fireårig aftale om at fremstille briller, udviklet af dem selv og Fox Racing.
Начиная с 2004 года, Джаннард приобрел большое количество акций Oakley: $2 млн. в 2004 году, $16 млн. в 2005 году и $4,6 млн. в начале 2006 года, доведя свою личную долю в компании до 63%.;Fra 2004 begyndte Jannard at købe en stor mængde Oakley-aktier: $2 mio. i 2004, $16 mio. i 2005 og $4,6 mio. i begyndelsen af 2006, hvilket øgede hans personlige ejerandel i virksomheden til 63%.
В 2006 году Oakley приобрела группу Oliver Peoples, производителя модных очков высокого класса (под брендами Oliver Peoples, Mosley Tribes и Paul Smith) за 55,7 млн. долларов США, а также Optical Shop of Aspen, розничного продавца очков класса люкс с четырнадцатью магазинами. Позже в 2006 году Oakley приобрела Eye Safety Systems, Inc. (ESS), еще одного крупного производителя тактической защиты глаз, за 110 млн. долларов США.;I 2006 købte Oakley Oliver Peoples Group, en producent af high-end modebriller (under mærkerne Oliver Peoples, Mosley Tribes og Paul Smith) for 55,7 millioner dollars, samt Optical Shop of Aspen, en detailhandler af luksusbriller med fjorten butikker. Senere i 2006 købte Oakley også Eye Safety Systems, Inc. (ESS), en anden stor producent af taktisk øjenbeskyttelse, for 110 millioner dollars.
21 июня 2007 года компания Luxottica объявила о своем намерении приобрести Oakley в рамках денежной сделки стоимостью 2,1 миллиарда долларов США, заплатив 16% премию к текущей цене акций. Сделка была завершена 15 ноября 2007 года, сделав Oakley частью портфеля, включающего такие бренды, как Ray-Ban, Persol и Vogue. После продажи основатель компании Джим Джаннард стал основателем Red Digital Cinema. Приобретение компанией Luxottica компании Oakley подверглось критике как потенциальное нарушение антимонопольного законодательства. Этот шаг также привел к тому, что производство Oakley было перенесено из США, а оправы и многие части солнцезащитных очков стали производиться в Китае.;Den 21. juni 2007 annoncerede Luxottica deres hensigt om at købe Oakley i en kontanttransaktion til en værdi af 2,1 milliarder dollars, hvilket betød en 16% præmie på den aktuelle aktiekurs. Aftalen blev afsluttet den 15. november 2007, hvilket gjorde Oakley til en del af en portefølje, der inkluderede mærker som Ray-Ban, Persol og Vogue. Efter salget blev firmaets grundlægger Jim Jannard grundlægger af Red Digital Cinema. Luxotticas køb af Oakley blev kritiseret som en potentiel overtrædelse af antimonopollovgivningen. Dette skridt førte også til, at Oakleys produktion blev flyttet fra USA, og stel og mange dele af solbrillerne begyndte at blive fremstillet i Kina.
Во время подготовки к успешному спасению тридцати трех шахтеров, пробывших в ловушке десять недель в чилийской шахте в октябре 2010 года, журналист, освещавший эту историю, связался с компанией Oakley по поводу пожертвования солнцезащитных очков для спасательной операции, зная, что шахтерам потребуется защита глаз после нескольких недель, проведенных в темноте. Компания Oakley пожертвовала 35 пар своих спортивных очков Radar, оснащенных специально подобранными тонировками.;I forberedelsen til den vellykkede redning af treogtredive minearbejdere, fanget i ti uger i en chilensk mine i oktober 2010, kontaktede en journalist, der dækkede historien, Oakley om en donation af solbriller til redningsaktionen, velvidende at minearbejderne ville have brug for øjenbeskyttelse efter flere ugers ophold i mørket. Oakley donerede 35 par af deres sportsbriller Radar, udstyret med specielt udvalgte toninger.
В 2012 году компания Oakley спонсировала членов олимпийской сборной США, и в том же году продлила партнерство до 2020 года.;I 2012 sponsorerede Oakley medlemmer af det amerikanske olympiske hold, og i samme år forlængede de partnerskabet til 2020.
В августе 2013 года компания Oakley продала свой бренд REVO компании Sequential Brands за $20 млн. В ноябре 2013 года компания Oakley подписала многолетний контракт со Scuderia Ferrari.;I august 2013 solgte Oakley deres mærke REVO til Sequential Brands for $20 mio. I november 2013 underskrev Oakley en flerårig aftale med Scuderia Ferrari.
В сентябре 2015 года компания Oakley закрыла веб-сайт своего подразделения Oakley Vault, но при этом продолжила розничную продажу бренда.;I september 2015 lukkede Oakley deres Oakley Vault-underafdelings hjemmeside, men fortsatte detailhandlen med mærket.
В марте 2021 года команда Aston Martin F1 Team объявила о партнерстве с Oakley.;I marts 2021 annoncerede Aston Martin F1 Team et partnerskab med Oakley.
Инновации и технологии бренда Oakley;Innovationer og teknologier fra Oakley-mærket
Unobtainium® - это первый инновационный материал, запатентованный компанией Oakley и используемый для некоторых наконечников дужек и носовых подушечек. Он обеспечивает максимальный комфорт, увеличивая сцепление с потом и удерживая оправу на месте без соскальзывания.;Unobtainium® er det første innovative materiale patenteret af Oakley og anvendt til nogle brillestangs ender og næsepuder. Det sikrer maksimal komfort ved at øge grebet med sved og holde stellet på plads uden at glide.
Очки Plazma Oakley;Oakley Plazma briller
Очки Oakley Plazma;Oakley Plazma briller
Plutonite® - прочный и оптически чистый материал линз Oakley, обеспечивающий максимальную защиту и превосходное зрение. Протестированный в экстремальных условиях, он гарантирует бескомпромиссную защиту от ударов большой массы и высокой скорости. Этот инновационный материал линз также останавливает ультрафиолетовое излучение солнца любой длины волны. Полностью соответствуя инновационной ДНК Oakley, Luxottica продолжает инвестировать в исследования и разработки, тестируя материалы, технологии и передовые, высокоэффективные линзы.;Plutonite® er et holdbart og optisk rent linsemateriale fra Oakley, der giver maksimal beskyttelse og fremragende syn. Testet under ekstreme forhold, garanterer det kompromisløs beskyttelse mod slag med stor masse og høj hastighed. Dette innovative linsemateriale blokerer også solens ultraviolette stråler af enhver bølgelængde. Fuldt i overensstemmelse med Oakleys innovative DNA, fortsætter Luxottica med at investere i forskning og udvikling, testning af materialer, teknologier og avancerede, højeffektive linser.
Oakley High Definition Optics® (HDO®) обеспечивает самое четкое, резкое и точное зрение по сравнению с обычными линзами, устраняя любые искажения изображения.;Oakley High Definition Optics® (HDO®) giver det klareste, skarpeste og mest præcise syn sammenlignet med almindelige linser, og eliminerer enhver billedforvrængning.
Футболист Килиан Мбаппе (Kylian Mbappe) в очках Oakley;Fodboldspilleren Kylian Mbappé (Kylian Mbappé) i Oakley-briller
Легкий материал O Matter™ - это прочный материал Oakley, обладающий комфортом и ударопрочностью при контролируемой гибкости. Он не деформируется со временем, как ацетат. Он в два раза прочнее, но при этом на 25% легче.;Let materiale O Matter™ er et holdbart Oakley-materiale, der tilbyder komfort og stødmodstand med kontrolleret fleksibilitet. Det deformeres ikke over tid, som acetat gør. Det er dobbelt så stærkt, men samtidig 25% lettere.
Технология Switchlock позволяет менять линзы за считанные секунды. Она обеспечивает адаптивность к любым условиям и не отстает от меняющихся световых и погодных условий.;Switchlock-teknologi gør det muligt at skifte linser på få sekunder. Den sikrer tilpasningsevne til alle forhold og følger med i skiftende lys- og vejrforhold.
Одежда и аксессуары Oakley;Oakley tøj og tilbehør
Флисовая куртка Latitude Fz;Latitude Fz fleece jakke
Latitude Bomber Fleece - это высокоэффективная куртка на молнии, сочетающая классический стиль и передовые технические характеристики для универсального ношения.;Latitude Bomber Fleece er en højtydende lynlåsjakke, der kombinerer klassisk stil med avancerede tekniske specifikationer for alsidig brug.
Флис оснащен системой управления влажностью Hydrolix от Oakley, технологической инновацией, разработанной для поддержания прохлады, сухости и комфорта пользователя за счет эффективного управления потоотделением и теплом тела. Эти характеристики еще более усиливаются благодаря передним карманам на молнии с сетчатой подкладкой, которые не только обеспечивают практичное хранение, но и улучшают воздухопроницаемость одежды.;Fleece er udstyret med Oakley's fugtighedsstyringssystem Hydrolix, en teknologisk innovation designet til at opretholde kølighed, tørhed og komfort for brugeren ved effektivt at styre sved og kropstemperatur. Disse egenskaber forstærkes yderligere af forlommerne med lynlås og mesh-for, som ikke kun tilbyder praktisk opbevaring, men også forbedrer tøjets åndbarhed.
Конструкция включает в себя эффективный крой, предлагая гладкий, конический профиль для пользователя. Конструкция куртки дополнена ребристым воротником, манжетами и подолом, обеспечивая долговечный внешний вид и идеальную посадку.;Konstruktionen omfatter en effektiv pasform, der tilbyder en glat, konisk profil til brugeren. Jakkekonstruktionen er fuldendt med ribbede kraver, manchetter og kant, hvilket sikrer et holdbart udseende og perfekt pasform.
Состав материала Latitude Bomber Fleece - 100% полиэстер, что способствует его долговечности и простоте в уходе. Сочетание дизайна и технологий в Latitude Bomber Fleece демонстрирует стремление Oakley к созданию одежды, обеспечивающей высокие эксплуатационные характеристики и оптимальный комфорт в различных условиях.;Materialekompositionen af Latitude Bomber Fleece er 100% polyester, hvilket bidrager til dets holdbarhed og lette pleje. Kombinationen af design og teknologi i Latitude Bomber Fleece demonstrerer Oakley's engagement i at skabe tøj, der leverer høj ydeevne og optimal komfort under forskellige forhold.
Очки Hydra;Hydra briller
Hydra, солнцезащитные очки от Oakley®, отдают дань уважения наследию серфинга и черпают вдохновение в линии;Hydra, solbriller fra Oakley®, hædrer surfingens arv og henter inspiration i Razor Blades-serien.
. Эта полу-оправа оснащена защитной линзой и отличается современным дизайном спускового стержня, напоминающим о корнях серф-культуры Razor Blades.;Denne semi-rammeløse model er udstyret med et beskyttende linse og kendetegnes ved et moderne trigger-stangdesign, der minder om rødderne i surfkulturen Razor Blades.
Примечательно, что Hydra включает в себя логотип Oakley B1B на дужках, подчеркивая идентичность Oakley бренда. Оправа солнцезащитных очков изготовлена из растительного материала BiO-Matter®, состоящего из биоматериалов, которые содержат не менее 56% углерода биологического происхождения, что соответствует соотношению касторового масла и ископаемых источников. Эта легкая и прочная оправа обеспечивает сбалансированную посадку и оптимальную фиксацию головы.;Det bemærkelsesværdige ved Hydra er inklusionen af Oakley B1B-logoet på stængerne, hvilket fremhæver Oakley brandets identitet. Stellet til solbrillerne er lavet af plantebaseret materiale BiO-Matter®, bestående af biomaterialer, der indeholder mindst 56% biologisk baseret kulstof, hvilket svarer til forholdet mellem ricinusolie og fossile kilder. Denne lette og holdbare ramme sikrer en afbalanceret pasform og optimal fastholdelse på hovedet.
Очки Oakley Hydra;Oakley Hydra briller
В Hydra реализована трехточечная система посадки Oakley, разработанная для комфортного ношения в течение всего дня. Дизайн дужки, вдохновленный линией Razor Blades, еще больше способствует общему комфорту и посадке солнцезащитных очков.;Hydra implementerer Oakley's tre-punkts pasformssystem, designet til behagelig brug hele dagen. Stangens design, inspireret af Razor Blades-serien, yderligere bidrager til den samlede komfort og pasform af solbrillerne.
Улучшая зрительные ощущения, Hydra поставляется с запатентованными линзами Prizm™ от Oakley. Эти линзы разработаны для улучшения цвета, контрастности и детализации, что позволяет владельцу получить максимальное удовольствие от любой деятельности. В целом, модель Hydra иллюстрирует стремление Oakley сочетать в своих очках инновационные материалы, дизайн, ориентированный на комфорт, и высокоэффективные технологии линз.;For at forbedre den visuelle oplevelse leveres Hydra med Oakley's patenterede Prizm™-linser. Disse linser er designet til at forbedre farve, kontrast og detaljer, hvilket giver ejeren den bedst mulige oplevelse i enhver aktivitet. Samlet set illustrerer Hydra-modellen Oakley's bestræbelser på at kombinere innovative materialer, komfortorienteret design og højeffektive linsteknologier i deres briller.
Публикаций;Publikationer
2.6 млн.;2.6 millioner
Подписчиков;Følgere
Подписок;Følger
© 2023 clothing-encyclopedia.com. Все права защищены.;© 2023 clothing-encyclopedia.com. Alle rettigheder forbeholdes.
История создания американского бренда одежды и аксессуаров Oakley, фотографии одежды и очков, описание технологий которые используются при производстве очков, ссылки на официальные источники.;Historien om skabelsen af det amerikanske tøj- og tilbehørsmærke Oakley, fotografier af tøj og briller, beskrivelse af de teknologier, der anvendes i brilleproduktionen, links til officielle kilder.
clothing-encyclopedia логотип;clothing-encyclopedia logo
Логотип Oakley;Oakley logo
oakley официальный сайт;oakley officiel hjemmeside
произошло от имени английского сеттера Джима,;opkaldt efter den engelske setter Jim,
Окли Энн;Oakley Ann
. Джаннард начал с продажи рукояток для мотокросса -;. Jannard startede med at sælge håndtag til motocross -
коллекция одежды и аксессуаров oakley;oakley tøj- og tilbehørskollektion
Футболист Kylian Mbappe в очках Oakley;Fodboldspilleren Kylian Mbappe i Oakley-briller
Флисовая куртка Latitude Fz. Фото #2;Latitude Fz fleece jakke. Foto #2
oakley instagram аватар;oakley instagram avatar
Oakley instagram пост от 06.06.2023;Oakley instagram post fra 06.06.2023
oakley instagram пост от 06.06.2023;oakley instagram post fra 06.06.2023
Oakley instagram пост от 05.06.2023;Oakley instagram post fra 05.06.2023
oakley instagram пост от 05.06.2023;oakley instagram post fra 05.06.2023
Oakley instagram пост от 01.06.2023;Oakley instagram post fra 01.06.2023
oakley instagram пост от 01.06.2023;oakley instagram post fra 01.06.2023
