В 2011 году бренд The Row совместно с Toms Shoes (компания по производству обуви) представил специальную коллекцию в соответствии с инициативой Tom's one-for-one. Впоследствии сестры Олсен вместе с Томсом приняли участие в благотворительной акции по раздаче обуви в Гондурасе.;I 2011 præsenterede The Row i samarbejde med Toms Shoes (et skoproduktionsfirma) en særlig kollektion i overensstemmelse med Toms one-for-one-initiativet. Senere deltog Olsen-søstrene sammen med Toms i en velgørenhedsaktion til at distribuere sko i Honduras.
Год спустя, в 2012 г., The Row в сотрудничестве с художником Дэмиеном Херстом выпустил эксклюзивную серию рюкзаков. В этой линейке был представлен культовый рюкзак The Row из кракодиловой кожи, украшенный 12 уникальными рисунками, созданными Херстом. Часть доходов от продажи этих рюкзаков была передана в фонд ЮНИСЕФ (Детский фонд ООН).;Året efter, i 2012, udgav The Row i samarbejde med kunstneren Damien Hirst en eksklusiv serie rygsække. Denne linje præsenterede den ikoniske The Row rygsæk af krokodilleskind, dekoreret med 12 unikke designs skabt af Hirst. En del af indtægterne fra salget af disse rygsække blev doneret til UNICEF (FN's Børnefond).
В 2015 году в результате сотрудничества The Row и Oliver Peoples (американский бренд очков) была создана коллекция очков, включающая в себя как оптические, так и солнцезащитные модели. В 2018 году они вновь объединились, чтобы представить вторую линию очков, вдохновленную модными тенденциями 1990-х годов.;I 2015, som et resultat af samarbejdet mellem The Row og Oliver Peoples (et amerikansk brillebrand), blev en brillekollektion skabt, som omfattede både optiske og solbriller. I 2018 gik de sammen igen for at præsentere en anden linje af briller, inspireret af modetrends fra 1990'erne.
В сфере искусства The Row тесно сотрудничал с Музеем Ногучи для своей презентации осень 2018 на Неделе моды в Нью-Йорке в феврале 2018 года. Сестры Олсен украсили свой шоу-рум скульптурами Исаму Ногучи, создав уникальную сцену для своих моделей. Позже, в сентябре того же года, они вновь объединили усилия с Музеем Ногучи и создали инсталляцию на нью-йоркском рынке Dover Street Market. На этой художественной выставке были представлены наряды из коллекции The Row осень 2018, а также две скульптуры Ногучи и три световые панели Akari.;Inden for kunstverdenen har The Row samarbejdet tæt med Noguchi-museet for deres efterårs 2018-præsentation under New York Fashion Week i februar 2018. Olsen-søstrene udsmykkede deres showroom med skulpturer af Isamu Noguchi, hvilket skabte en unik scene for deres modeller. Senere i september samme år samarbejdede de igen med Noguchi-museet og skabte en installation på New York's Dover Street Market. På denne kunstudstilling blev tøj fra The Row efterår 2018-kollektionen samt to Noguchi-skulpturer og tre Akari-lyspaneler præsenteret.
Коллекции бренда The Row;The Row's kollektioner
Осенняя коллекция бренда The Row 2024;The Row's efterårskollektion 2024
Коллекция бренда The Row весна/лето 2024;The Row's forår/sommer kollektion 2024
Коллекция бренда The Row - осень 2023;The Row's efterårskollektion 2023
Коллекция бренда The Row - весна 2023;The Row's forårskollektion 2023
Публикаций;Publikationer
2,1 млн;2,1 mio.
Подписчиков;Følgere
Подписок;Følger
© 2023 clothing-encyclopedia.com. Все права защищены.;© 2023 clothing-encyclopedia.com. Alle rettigheder forbeholdes.
История создания и описание бренда The Row, примеры коллекций;Historien om og beskrivelsen af The Row-mærket, eksempler på kollektioner
clothing-encyclopedia логотип;clothing-encyclopedia logo
The Row официальный сайт;The Row officiel hjemmeside
говорить;tale
Осенняя коллекция бренда The Row 'Resort' 2024;The Row's efterårskollektion 'Resort' 2024
the row instagram аватар;the row instagram avatar
The Row instagram пост от 28.08.2023;The Row instagram post fra 28.08.2023
The Row instagram пост от 15.08.2023;The Row instagram post fra 15.08.2023
The Row instagram пост от 11.08.2023;The Row instagram post fra 11.08.2023
The Row instagram пост от 10.08.2023;The Row instagram post fra 10.08.2023
